File,Iteration,Duration_w_all_Columns,Num_op_w_all_columns,Number of error,Round,Rows-Column
6,12,173.97077399630234,0,0,12,55
7,12,136.30613099985567,0,0,12,55
6,13,124.25440399977106,0,0,13,55
7,13,112.88884400335064,0,0,13,55
6,14,142.48342999735542,0,0,14,55
7,14,121.67380900018543,0,0,14,55
6,15,174.14047300121638,0,0,15,55
7,15,158.45048999938172,0,0,15,55
6,16,200.90860600203087,0,0,16,55
7,16,177.2610309958509,0,0,16,55
6,17,382.8606460018591,0,0,17,55
7,17,305.3474269987646,0,0,17,55
6,18,139.55891899854578,0,0,18,55
7,18,124.31718500226907,0,0,18,55
6,19,744.6392119995835,0,0,19,55
7,19,650.0343660014778,0,0,19,55
6,0,395.3911180033174,0,0,0,56
7,0,343.1519700009176,0,0,0,56
6,1,511.2339139981259,0,0,1,56
7,1,442.525903996966,0,0,1,56
6,2,415.46010699767066,0,0,2,56
7,2,359.90981499935515,0,0,2,56
6,3,475.44486000151664,0,0,3,56
7,3,417.0005130018808,0,0,3,56
6,4,449.7693009989234,0,0,4,56
7,4,399.48896900091313,0,0,4,56
6,5,556.5985429993816,0,0,5,56
7,5,324.9019069990027,0,0,5,56
6,6,125.84620200141217,0,0,6,56
7,6,133.16416899726846,0,0,6,56
6,7,143.539468001336,0,0,7,56
7,7,203.69437099964216,0,0,7,56
6,8,605.9806699985302,0,0,8,56
7,8,531.2215240001024,0,0,8,56
6,9,509.5833970004833,0,0,9,56
7,9,433.29505299857374,0,0,9,56
6,10,346.64706600176487,0,0,10,56
7,10,346.6910450000569,0,0,10,56
6,11,597.9421600014803,0,0,11,56
7,11,464.5005360015375,0,0,11,56
6,12,629.237229003138,0,0,12,56
7,12,569.8187820017893,0,0,12,56
6,13,127.74305199877745,0,0,13,56
7,13,129.02927699656175,0,0,13,56
6,14,146.81501000006847,0,0,14,56
7,14,138.57708300065497,0,0,14,56
6,15,118.3658459989374,0,0,15,56
7,15,110.6061450030893,0,0,15,56
6,16,138.89175000281284,0,0,16,56
7,16,131.71102800083645,0,0,16,56
6,17,143.88319300132935,0,0,17,56
7,17,132.8563699979668,0,0,17,56
6,18,119.06736899993575,0,0,18,56
7,18,114.8630909987105,0,0,18,56
6,19,131.91077799979212,0,0,19,56
7,19,120.74639699892487,0,0,19,56
6,0,116.6268100016623,0,0,0,57
7,0,106.59815999690636,0,0,0,57
6,1,152.91053899863982,0,0,1,57
7,1,140.00975100111646,0,0,1,57
6,2,148.17115500056843,0,0,2,57
7,2,128.2579660024794,0,0,2,57
6,3,191.77468100099304,0,0,3,57
7,3,176.50676099742668,0,0,3,57
6,4,165.24061899849585,0,0,4,57
7,4,141.94160999886662,0,0,4,57
6,5,151.6453320001574,0,0,5,57
7,5,138.03409899878716,0,0,5,57
6,6,169.75389699916832,0,0,6,57
7,6,155.84063700077877,0,0,6,57
6,7,125.01664600119966,0,0,7,57
7,7,113.06476699860468,0,0,7,57
6,8,137.34101300008206,0,0,8,57
7,8,116.03674600212344,0,0,8,57
6,9,134.8477729982278,0,0,9,57
7,9,122.3664909996387,0,0,9,57
6,10,113.09498199875634,0,0,10,57
7,10,99.09232000006796,0,0,10,57
6,11,216.0770089996049,0,0,11,57
7,11,151.03043799638272,0,0,11,57
6,12,102.05914499965729,0,0,12,57
7,12,92.79450099836595,0,0,12,57
6,13,135.61492500150507,0,0,13,57
7,13,109.76673400102754,0,0,13,57
6,14,147.073894000755,0,0,14,57
7,14,134.82248499769867,0,0,14,57
6,15,246.8752359957307,0,0,15,57
7,15,130.86237400125356,0,0,15,57
6,16,173.88454099909723,0,0,16,57
7,16,165.9646440028837,0,0,16,57
6,17,161.3437329978069,0,0,17,57
7,17,149.2842340023799,0,0,17,57
6,18,242.23595800037856,0,0,18,57
7,18,278.7961449986369,0,0,18,57
6,19,420.0120250002328,0,0,19,57
7,19,430.52618500234985,0,0,19,57
6,0,448.9230639989046,0,0,0,58
7,0,442.55090999945423,0,0,0,58
6,1,811.4239839977699,0,0,1,58
7,1,602.1363279963907,0,0,1,58
6,2,459.05643899959614,0,0,2,58
7,2,393.64881699850685,0,0,2,58
6,3,338.15429100206984,0,0,3,58
7,3,301.879320998637,0,0,3,58
6,4,522.3862530006045,0,0,4,58
7,4,565.2664339985449,0,0,4,58
6,5,678.8620820028655,0,0,5,58
7,5,578.3597850023625,0,0,5,58
6,6,630.3560410005957,0,0,6,58
7,6,559.4777400009434,0,0,6,58
6,7,493.35146199905466,0,0,7,58
7,7,565.4270820031115,0,0,7,58
6,8,1564.7510419992159,0,0,8,58
7,8,1321.1035059972573,0,0,8,58
6,9,531.4881300008665,0,0,9,58
7,9,435.7940890034797,0,0,9,58
6,10,432.35491200164233,0,0,10,58
7,10,390.8726160027527,0,0,10,58
6,11,542.0125659965151,0,0,11,58
7,11,373.76355899812097,0,0,11,58
6,12,1387.0333579995986,0,0,12,58
7,12,1137.20735700349,0,0,12,58
6,13,1430.6121140026562,0,0,13,58
7,13,1372.339540005214,0,0,13,58
6,14,1811.7924800012588,0,0,14,58
7,14,1667.2432069997285,0,0,14,58
6,15,1134.5396049989631,0,0,15,58
7,15,795.4741559985905,0,0,15,58
6,16,403.98127100206693,0,0,16,58
7,16,320.19702799834704,0,0,16,58
6,17,413.06057999918266,0,0,17,58
7,17,514.5780899933925,0,0,17,58
6,18,847.0288949949918,0,0,18,58
7,18,773.9105959922199,0,0,18,58
6,19,1075.9161300077267,0,0,19,58
7,19,1020.1318359931975,0,0,19,58
6,0,1339.1407160058861,0,0,0,59
7,0,1197.4687719996382,0,0,0,59
6,1,974.5379759951902,0,0,1,59
7,1,741.7048199949932,0,0,1,59
6,2,860.7585350039244,0,0,2,59
7,2,689.3284159987161,0,0,2,59
6,3,822.306147999825,0,0,3,59
7,3,763.9186789972428,0,0,3,59
6,4,1020.4480820034405,0,0,4,59
7,4,921.2485069974718,0,0,4,59
6,5,1027.794617996733,0,0,5,59
7,5,934.2849880063113,0,0,5,59
6,6,208.28439900287776,0,0,6,59
7,6,224.36579699865433,0,0,6,59
6,7,218.5095510078554,0,0,7,59
7,7,214.15558299395343,0,0,7,59
6,8,246.0475419948125,0,0,8,59
7,8,192.02709000160212,0,0,8,59
6,9,222.1727190014917,0,0,9,59
7,9,179.88040600539534,0,0,9,59
6,10,176.49944500249148,0,0,10,59
7,10,464.1821679945224,0,0,10,59
6,11,1450.4001199954928,0,0,11,59
7,11,1289.631300997371,0,0,11,59
6,12,503.8340980056546,0,0,12,59
7,12,489.00393400049325,0,0,12,59
6,13,274.891812007354,0,0,13,59
